_title_norm,title,num_editions,edition_list
digital communications,Digital Communications,5,['1st' '4th' '1st ed.' '' '5th ed.']
digital control systems,Digital control systems,3,['2nd ed.' '2nd' '2nd ed']
digital design,Digital Design,5,['3rd' '1st ed.' '' '4th ed.' '6th ed.']
digital electronics,Digital Electronics,3,['6th' '1st' '5th']
digital electronics and logic design,Digital Electronics and Logic Design,2,['2nd pri.' '1st ed.']
digital electronics and microprocessors,Digital Electronics and Microprocessors,3,['18th rep.' '20th rep.' '1st']
digital electronics: principles & integrated circuits,Digital Electronics: Principles & Integrated circuits,2,['1st ed.' '']
digital electronics: principles and applications,Digital Electronics: Principles and Applications,3,['6th ed' '1st ed.' '6th']
digital fundamentals,Digital Fundamentals,4,['3rd ed.' '8th' '1st' '8th ed.']
digital fundamentals :experiment& concept with cplds,Digital Fundamentals :Experiment& Concept with CPLDs,2,['1st ed.' '']
digital image processing,Digital Image Processing,6,['1st ed.' '' '3rd' '2nd' '1st' '3rd ed.']
digital image processing and analysis,Digital Image Processing and Analysis,2,['4th pri. ed.' '1st ed.']
digital integrated circuit design,Digital Integrated Circuit Design,2,['1st ed.' '']
digital integrated circuits,Digital Integrated Circuits,2,['2nd rep.' '1st ed.']
digital integrated circuits: a design perspective,Digital Integrated Circuits: a design perspective,2,['2nd' '2nd ed.']
digital logic and computer design,Digital Logic and computer Design,4,['1st ed.' '26th.rep' '13th pri.' '1st']
digital logic design principles,Digital logic design principles,2,['1st ed.' '']
digital microwave communication system,Digital Microwave Communication System,2,['1st' '1st ed.']
digital signal processing,Digital Signal Processing,11,"['6th rep.' '1st' '' '3rd' '1st ed.' '4th' '3rd imp.' '4th rep.' '29 ed.'
 '2nd ed.' '2nd']"
digital signal processing: signal systems filters,Digital Signal Processing: Signal Systems Filters,2,['1st ed.' '']
digital switching systems: system reliability and analysis,Digital switching systems: system reliability and analysis,2,['1st ed.' '']
digital system: principles and design,Digital system: Principles and Design,2,['1st ed.' '']
discrete math.for comp. scientist & mathematicians,Discrete Math.for Comp. Scientist & Mathematicians,2,['2nd re' '2nd']
discrete mathematical structures,Discrete Mathematical Structures,3,['4th' '5th' '1st ed.']
discrete mathematics,Discrete Mathematics,5,['1st' '2nd' '1st ed.' '6th ed.' '3rd.']
discrete mathematics and structures,Discrete Mathematics and Structures,3,['2nd ed' '5th ed.' '1st ed.']
discrete time control systems,Discrete time Control Systems,2,['2nd ed.' '2nd']
discrete-time : speech signal processing,Discrete-Time : Speech Signal Processing,2,['1st rep.' '1st']
distributed operating system,Distributed Operating system,2,['1st' '1st ed.']
distributed operating systems,Distributed Operating systems,5,['1st' '1st ed.' '3rd' '4th' '']
distributed operating systems concepts & design,Distributed Operating systems Concepts & Design,2,['1st ed.' '1st']
e- commerce: strategy technology and applications,E- Commerce: Strategy Technology and Applications,4,['1st' '15th re print' '1st ed.' '2nd']
e-commerce application----scratch,e-commerce application----scratch,2,['1st' '']
economic survey 2007-08,Economic Survey 2007-08,2,['1st ed.' '']
economics,Economics,8,['4th ed.' '6th' '7th' '4th' '10th' '3rd' '8th' '9th']
economics workbook,Economics Workbook,3,['5th' '' '6th']
effective methods for software engineering,Effective Methods for Software Engineering,2,['2nd' '3rd']
electric circuits,Electric Circuits,4,['4th' '4th ed.' '8th ed.' '5th']
electric machinery,Electric Machinery,2,['1st' '6th ed.']
electric machinery and transformers,Electric Machinery and Transformers,2,['2nd' '2nd ed.']
electric machines,Electric Machines,4,['2nd' '4th ed.' '3rd' '3rd ed.']
electric power distribution,Electric power distribution,2,['5th ed.' '6th ed.']
electrical &electronics measurement & instrumentation,Electrical &Electronics Measurement & Instrumentation,2,['1st' '']
electrical engineering fundamentals,Electrical Engineering Fundamentals,2,['2nd' '2nd ed.']
electrical engineering materials,Electrical Engineering Materials,4,['2nd' '1st' '1st ed.' '']
electrical machinery,Electrical Machinery,2,['7th ed' '7th ed.']
electrical machines,Electrical Machines,2,['2nd' '3rd']
electrical networks,Electrical Networks,2,['2nd rep.' '1st ed.']
electrical power systems,Electrical Power Systems,2,['5th ed.' '6th']
electrical science,Electrical science,3,['1st' '' '1st ed.']
electrical technology,Electrical Technology,2,['rep' '1st']
electrical wiring---costing,Electrical wiring---costing,2,['1st' '']
electricity & magnetism vol-2,Electricity & Magnetism vol-2,2,['1st ed.' '']
electricity and magnetism,Electricity and magnetism,3,['1st ed.' '' '11th rep']
electromagnetic field and waves,Electromagnetic field and waves,2,['1st ed.' '1st']
electromagnetic field theory,Electromagnetic Field Theory,2,['1st' '5th ed.']
