_title_norm,title,num_editions,edition_list
essentials of physical chemistry,Essentials of Physical Chemistry,3,['1st ed.' '24th rep' '24th']
principles of compiler design,Principles of Compiler Design,3,['1st' '' '1st ed.']
automobile mechanics,Automobile Mechanics,3,['8th ed' '8th' '1st ed.']
internal combustion engine,Internal Combustion Engine,3,['1st' '2nd ed.' '1st ed.']
principles of corporate finance,Principles of corporate finance,3,['6th' '6th ed.' '7th ed.']
automotive technology,Automotive technology,3,['1st' '1st ed.' '']
electronic principles,Electronic Principles,3,['1st ed.' '6th' '7th']
text book of production technology,Text book of production technology,3,['1st ed.' '1st' '']
intel microprocessors 8086/8088,Intel Microprocessors 8086/8088,3,['4th ed.' '' '6th']
basic business communication,Basic Business Communication,3,['9th' '1st' '3 rep.']
electronic devices and circuit theory,Electronic Devices and Circuit Theory,3,['6th ed.' '8th' '9th']
c++ primer,C++ Primer,3,['3rd ed.' '' '3rd']
highway engineering,Highway Engineering,3,['8th ed. rep.' '9th ed.' '1st ed.']
text book of physical chemistry,Text book of physical chemistry,3,['22nd' '' '22nd rev']
digital electronics,Digital Electronics,3,['6th' '1st' '5th']
object-oriented programming in c++,Object-Oriented Programming in C++,3,['1st ed.' '13th pri.' '13th rep.']
concrete technology,Concrete Technology,3,['3rd ed.' '1st ed.' '']
solid state electronic devices,Solid State Electronic Devices,3,['5th' '4th' '6th']
control system engineering,Control System Engineering,3,['3rd rep' '4th' '5th']
control systems,Control Systems,3,['3rd' '1st' '3rd ed.']
object oriented programming in c++,Object Oriented Programming in C++,3,['5th ed.' '4th ed.' '3rd ed.']
conventional & obj. type quest.& ans.on mech.eng.,Conventional & Obj. Type Quest.& Ans.on Mech.Eng.,3,['1st rep.' '23rd' '23rd ed.']
social psychology,Social Psychology,3,['9th' '2nd' '10th']
digital electronics: principles and applications,Digital Electronics: Principles and Applications,3,['6th ed' '1st ed.' '6th']
unified modeling language user guide,Unified Modeling Language User Guide,3,['1st' '1st ed.' '']
digital electronics and microprocessors,Digital Electronics and Microprocessors,3,['18th rep.' '20th rep.' '1st']
gas turbine theory,Gas Turbine Theory,3,['4th' '1st' '5th']
data and computer communications,Data and Computer Communications,3,['5th' '7th' '8th']
data communications & computer networks,Data Communications & Computer Networks,3,['7th pri.' '1st' '2nd ed.']
microelectronics circuits,Microelectronics Circuits,3,['4th ed.' '4th' '5th ed.']
digital control systems,Digital control systems,3,['2nd ed.' '2nd' '2nd ed']
digital communication techniques,Digital Communication Techniques,3,['2nd pri.' '1st ed.' '']
fundamentals of computers and programming with c,Fundamentals of Computers and Programming with C,3,['1st' '1st ed.' '5th']
"fuzzy logic: intelligence, control & information","Fuzzy Logic: Intelligence, Control & Information",3,['1st' '1st ed.' '']
security in computing,Security in Computing,3,['4th' '1st ed.' '4th ed.']
refrigeration and air conditioning,Refrigeration and Air Conditioning,3,['2nd' '2nd ed.' '14th ed.']
fundamentals of digital circuits,Fundamentals of Digital Circuits,3,['3rd prr.' '1st' '1st ed.']
network analysis & synthesis,Network Analysis & Synthesis,3,['2nd' '1st ed.' '']
design with pic microcontrollers,Design with PIC Microcontrollers,3,['8th rep.' '7th' '2nd ed.']
fundamentals of electric circuits,Fundamentals of Electric Circuits,3,['1st ed.' '3rd' '3rd ed.']
database system concept,Database System Concept,3,['1st' '5th' '5th ed.']
design of steel structures,Design of Steel Structures,3,['3rd ed.' '5th ed. rep.' '1st ed.']
design data,Design data,3,['1st ed.' '' '1st']
concrete manual,Concrete Manual,3,['4th rep.' '1st' '']
programming with java a primer,Programming With Java A Primer,3,['2nd. rep' '2nd' '3rd']
programming with java,Programming with Java,3,['1st ed.' '2nd ed.' '2nd']
computer oriented numerical methods,Computer oriented numerical methods,3,['3rd' '' '1st ed.']
telecommunication switching systems and networks,Telecommunication Switching Systems and Networks,3,['1st' '21' '']
chemical process control,Chemical Process Control,3,['1st' '1st ed.' '']
chemical process control: an introd.to theo.& prac,Chemical Process Control: An Introd.to Theo.& Prac,3,['12th rep.' '12th' 'rep.']
fundamentals of electromagnetics with matlab,Fundamentals of Electromagnetics with MATLAB,3,['1st' '2nd ed.' '']
microprocessors architecture with the 8085,Microprocessors Architecture with the 8085,3,['4th ed.' '' '5th ed.']
classical mechanics,Classical Mechanics,3,['1st ed.' '' '3rd ed.']
optical fiber communication,Optical Fiber Communication,3,['2nd ed.' '2003' '1st ed.']
optical communication,Optical Communication,3,['1st ed.' '1st' '']
microwave and radar engineering,Microwave and Radar Engineering,3,['1st rep.' '3rd ed.' '1st ed.']
microwave devices and circuits,Microwave Devices and Circuits,3,['3rd ed.' '3rd' '2nd ed.']
microwave engineering,Microwave Engineering,3,['1st ed.' '3rd' '3rd ed.']
economics workbook,Economics Workbook,3,['5th' '' '6th']
production and operation management,Production and operation management,3,['1st ed.' '' '2nd ed.']
operating system,Operating System,3,['15th rep.' '1st ed.' '']
structured computer organisation,Structured computer organisation,3,['4th ed.' '' '5th']
op-amps and linear integrated circuits,Op-Amps and Linear Integrated Circuits,3,['4th ed.' '4th' '3rd ed.']
strength of materials: mechanics of solids,Strength of Materials: Mechanics of Solids,3,['1st ed.' '' 'rev. ed.']
modern control engineering,Modern Control Engineering,3,['3rd ed.' '4th ed.' '1st ed.']
fluid mechanics and fluid power engineering,Fluid Mechanics and Fluid Power Engineering,3,['rep.' '1st' 'rep.2007']
modern control systems,Modern Control Systems,3,['3rd ed.' '10th ed.' '11 edition']
discrete mathematics and structures,Discrete Mathematics and Structures,3,['2nd ed' '5th ed.' '1st ed.']
modern electric inst. and measurement techniques,Modern Electric Inst. and Measurement Techniques,3,['1st ed.' '10th pri.' '11th pri.']
computer control of processes,Computer Control of Processes,3,['1st' '1st ed.' '']
discrete mathematical structures,Discrete Mathematical Structures,3,['4th' '5th' '1st ed.']
computer graphics,Computer Graphics,3,['2nd ed.' '2nd rep ed.' '2nd']
objective general english,Objective General English,3,['rep.' '' '1st ed.']
graph theory with applications to engg.and comp.sc,Graph Theory with Applications to Engg.and Comp.Sc,3,['1st' '19th pri.' '25th pri.']
an introduction to neural network,An Introduction to Neural Network,3,['1st' '1st ed.' '']
engineering thermodynamics,Engineering Thermodynamics,3,['3rd ed.' '4th ed.' '1st ed.']
visual modeling with rational rose 2002 & uml,Visual Modeling with Rational Rose 2002 & UML,3,['3rep.' '2nd' '2ed']
linear algebra,Linear Algebra,3,['4th ed.' '3rd ed.' '2nd']
machine drawing,Machine Drawing,3,['17th rev' '36th' '1st ed.']
java 2 platform,Java 2 platform,3,['1st ed.' '' '1st']
a course in electrical and ----- instrumentation,A Course in Electrical and ----- Instrumentation,3,['17th' '1st ed.' '17th.']
is-95 cdma & cdma 2000: cellular ipcs system implementation,IS-95 CDMA & Cdma 2000: Cellular IPCS System Implementation,3,['1st' '1st ed.' '']
advanced accountancy,Advanced Accountancy,3,['8ed.' '8th' '1st']
an engineering approach to computer networking,An Engineering Approach to Computer Networking,3,['6th rep.' '1st' '1st ed.']
an introduction to fuzzy control,An Introduction to Fuzzy Control,3,['1st' '1st ed.' '']
java 2 : the complete reference,Java 2 : The Complete Reference,3,['3rd' '4th' '5th']
introduction to finite elements in engineering,Introduction to Finite Elements in Engineering,3,['2nd' '3rd' '1st ed.']
a vhdl primer,A VHDL Primer,3,['3rd' '3rd. rep' '3rd ed.']
wireless communications,Wireless communications,3,['2nd ed.' '1st ed.' '']
introduction to robotics,Introduction to Robotics,3,['1st ed.' '' '2nd']
visual c ++ 6,Visual C ++ 6,3,['7th rep.' '7th ed.' '7th']
linear integrated circuits,Linear Integrated Circuits,3,['1st' '1st ed.' '']
wireless digital communication,Wireless Digital Communication,3,['8th pri.' '1st' '1st ed.']
workshop technology: manufacturing process,Workshop technology: manufacturing process,3,['2nd ed.' '2nd' '1st']
data structures and algorithms made easy in java,Data structures and algorithms made easy in Java,2,['1st ed.' '']
fundamentals of software engineering,Fundamentals of Software Engineering,2,['2nd' '1st ed.']
fundamentals of wimax: understanding broadband wireless networking,Fundamentals of WIMAX: Understanding Broadband Wireless networking,2,['1st ed.' '']
data structures using c,Data structures using C,2,['1st ed.' '7th ed.']
data structures,Data Structures,2,['19th rep.' '1st ed.']
fundamentals of the internet and the world wide web,Fundamentals of the Internet and the World wide web,2,['2nd' '1st']
an introduction to java programming,An Introduction to Java Programming,2,['4th. rep.' '1st']
fundamentals of signals & systems,Fundamentals of Signals & Systems,2,['1st ed.' '']
"water management: conservation, harvesting and artificial recharge","Water Management: Conservation, harvesting and artificial recharge",2,['1st ed.' '']
schoum's outlines set theory ...topics,Schoum's Outlines Set Theory ...Topics,2,['2nd ed.' '']
fundamentals of wireless communication,Fundamentals of Wireless Communication,2,['1st ed.' '']
fundamentals of programming language,Fundamentals of programming language,2,['2nd ed.' '']
lectures on macroeconomics,Lectures on Macroeconomics,2,['1st ed.' '2nd ed.']
data warehousing in the real world,Data Warehousing in the Real World,2,['13th rep.' '3rd rep.']
database management system,Database management system,2,['1st ed.' '1st']
database management system & design,Database Management System & Design,2,['1st' '2nd']
satellite communication,Satellite Communication,2,['1st' '4th ed.']
fundamentals of neural network: architecture algorithims & applications,fundamentals of Neural Network: Architecture Algorithims & Applications,2,['1st' '']
a textbook of plant ecology,A textbook of plant ecology,2,['4th' '4th ed']
waste water treatment,Waste Water Treatment,2,['2nd' '2nd ed.']
fundamentls of artificial neural networks,Fundamentls of Artificial Neural Networks,2,['1st' '']
narada purana,Narada Purana,2,['3rd' '']
simulation modeling and analysis,Simulation Modeling and Analysis,2,['3rd' '4th ed.']
cryptography & network security,Cryptography & Network Security,2,['4th ed.' '4th']
silicon vlsi technology,Silicon VLSI Technology,2,['1st ed.' '']
signals system,Signals System,2,['1st' '3rd']
signals & systems,Signals & Systems,2,['1st ed.' '']
garuda purana,Garuda Purana,2,['3rd' '']
signal and systems,Signal and Systems,2,['2nd' '3rd']
signal & systems,Signal & Systems,2,['3rd ed.' '']
introduction to quantum mechanics,Introduction to quantum mechanics,2,['1st ed.' '']
data communications & networking,Data Communications & Networking,2,['1st ed.' '1st']
data communications and networking,Data Communications and Networking,2,['3ed.' '3rd']
shiv purana,Shiv Purana,2,['3rd' '']
fuzzy sets & fuzzy logic: theory & application,Fuzzy Sets & Fuzzy Logic: theory & application,2,['1st ed.' '']
introduction to real analysis,Introduction to real analysis,2,['3rd ed.' '1st ed.']
data mining techniques,Data Mining Techniques,2,['2nd rep.' '4th rep.']
data mining: concepts & techniques,Data Mining: concepts & techniques,2,['2nd' '2nd ed.']
data mining: concepts and techniques,Data mining: concepts and techniques,2,['2nd' '2nd ed.']
data mining: introductory & advanced topic,Data Mining: Introductory & Advanced Topic,2,['1st ed.' '']
sensors & transducers,Sensors & Transducers,2,['1st' '1st ed.']
introduction to solid state physics,Introduction to Solid State Physics,2,['7th' '1st ed.']
fuzzy logic & its applications technology & management,Fuzzy Logic & Its Applications Technology & Management,2,['1st ed.' '1st']
fundamentals of nano electronics,Fundamentals of Nano electronics,2,['1st ed.' '']
fundamentals of machine component design,Fundamentals of Machine Component Design,2,['3rd' '3 ed.']
fundamentals of microwave engineering,Fundamentals of Microwave Engineering,2,['1st ed.' '']
fundamentals of digital communications,Fundamentals of Digital Communications,2,['1st ed.' '']
fundamentals of data structure,Fundamentals of Data Structure,2,['1st' '']
fundamentals of convolutional coding,Fundamentals of Convolutional Coding,2,['1st ed.' '']
refrigerant tables & charts including air conditioning data,Refrigerant Tables & Charts Including Air Conditioning Data,2,['1st' '1st ed.']
introduction to unix / linux,Introduction to Unix / Linux,2,['1st' '']
red hat linux 6,Red hat linux 6,2,['1st ed.' '']
differential equations,Differential Equations,2,['3rd ed.' '']
real-time computer control,Real-Time Computer Control,2,['1st ed.' '2002']
fundamentals of computer algorithms,Fundamentals of computer algorithms,2,['1st ed.' '']
real complex analysis,Real Complex Analysis,2,['3rd ed.' '1st ed.']
real analysis,Real Analysis,2,['3rd ed.' 'indian ed.']
fundamentals of compressible flow,Fundamentals of compressible flow,2,['2nd' '3rd']
introduction to vlsi circuits & systems,Introduction to VLSI Circuits & Systems,2,['1st ed.' '']
non- conventional energy resources,Non- Conventional Energy Resources,2,['1st ed.' '2nd ed.']
a text book of machine design,A Text Book of Machine Design,2,['1st rep.' '14th rev']
fundamental of--sensor systems,Fundamental of--sensor systems,2,['1st ed.' '']
fundamental of the internet & the world wilde web,Fundamental of the Internet & the World Wilde Web,2,['1st' '2nd']
radar foundations for imaging and advanced concept,Radar Foundations for Imaging and Advanced Concept,2,['1st' '1st ed.']
fundamental of signals &system,Fundamental of Signals &System,2,['1st ed.' '']
fundamental of semiconductor fabrication,Fundamental of Semiconductor Fabrication,2,['1st ed.' '']
numerical examples in physics,Numerical Examples in Physics,2,['1st ed.' '']
