_title_norm,title,quantity
simulation modeling and analysis,Simulation Modeling and Analysis,22
wireless communication,Wireless Communication,22
network analysis,Network Analysis,22
textbook of elements of mechanical engineering,Textbook of Elements of Mechanical Engineering,22
antenna theory: analysis and design,Antenna Theory: Analysis and Design,22
introduction to neural networks using matlab 6.0,Introduction to Neural networks using MATLAB 6.0,22
baisics of biotechnology,Baisics of Biotechnology,22
avhdl primer,AVHDL Primer,22
understanding pointers in c,Understanding Pointers in C,22
getting started with the internet of things,Getting started with the internet of things,22
a textbook on heat transfer,A textbook on Heat Transfer,22
theory &problems of discrete......mathematics,Theory &problems of Discrete......Mathematics,21
digital switching systems: system reliability and analysis,Digital switching systems: system reliability and analysis,21
solid mechanics,Solid Mechanics,21
calculus and analytic geometry,Calculus and Analytic Geometry,21
cnc programming,CNC Programming,21
chemical process control: an introd.to theo.& prac,Chemical Process Control: An Introd.to Theo.& Prac,21
circuits and networks: analysis and synthesis,Circuits and Networks: Analysis and Synthesis,21
social psychology,Social Psychology,21
handbook of biomedical instrumentation,Handbook of Biomedical Instrumentation,21
a text book of electrical technology vol.1,A text book of Electrical Technology Vol.1,21
system simulation,System simulation,21
welding process & technology,Welding Process & Technology,21
"energy, ecology and environment and society","Energy, Ecology and Environment and Society",21
text book of environmental studies,Text book of Environmental Studies,21
objective genaral english,Objective Genaral English,21
computer organization and design,computer organization and design,21
elements of workshop technology vol.1,Elements of Workshop Technology vol.1,21
numerical methods :science & engg. computation,Numerical Methods :Science & Engg. Computation,21
environmental science and engineering,Environmental science and engineering,21
engineering fluid mechanics,Engineering Fluid Mechanics,21
microelectronic circuits,Microelectronic Circuits,21
microprocessors architecture with the 8085,Microprocessors Architecture with the 8085,20
material science & metallurgy for engineers,Material Science & Metallurgy for Engineers,20
introduction to fluid mechanics,Introduction to Fluid Mechanics,20
computer architecture: piplined and parallel processor design,Computer Architecture: piplined and parallel processor design,20
effective methods for software engineering,Effective Methods for Software Engineering,20
a textbook on experiment ... in engg. chemistry,A Textbook on Experiment ... in Engg. Chemistry,20
theory of mechanisms & machines,Theory of Mechanisms & Machines,20
basic and  applied soil mechanics,Basic and  Applied Soil Mechanics,20
sewage disposal and air pollution engineering,Sewage Disposal and Air Pollution Engineering,20
plain and reinforced concrete,Plain and reinforced concrete,20
cad/cam/cim,CAD/CAM/CIM,20
general microbiology,General Microbiology,20
morden machining process,Morden Machining Process,20
communication systems:analog and digital,Communication systems:analog and digital,20
unix networking programming vol.1,UNIX Networking Programming Vol.1,20
computer graphics and design,Computer Graphics and Design,20
a course in workshop technology vol.2,A Course in Workshop Technology Vol.2,20
"manufacturing technology: foundary, forming and welding","Manufacturing Technology: Foundary, Forming and Welding",20
data mining techniques,Data Mining Techniques,20
conventional & obj. type quest.& ans.on mech.eng.,Conventional & Obj. Type Quest.& Ans.on Mech.Eng.,20
parallel computing : theory and practice,Parallel Computing : Theory and Practice,20
fundamentals of cad/cam,Fundamentals of CAD/CAM,20
visual c++ programming,Visual C++ Programming,20
modern production operation management,Modern Production Operation Management,20
microprocessor architecture programming & application with the 8085,Microprocessor Architecture Programming & Application with the 8085,20
experiments in applied chemistry,Experiments in Applied Chemistry,20
the 8051 microcontroller,The 8051 microcontroller,20
network analysis and synthesis,Network analysis and synthesis,20
industrial engineering and production management,Industrial Engineering and Production Management,20
"intermediate grammar,usage& composition","Intermediate Grammar,Usage& Composition",20
fundamentals of the internet and the world wide web,Fundamentals of the Internet and the World wide web,20
"internet & internet engineering: :technologies,protocol & applications","Internet & Internet Engineering: :technologies,protocol & Applications",20
linear integrated circuits,Linear Integrated Circuits,20
gate 2013: mechanical engineering,GATE 2013: mechanical engineering,20
integrated electronics: analog and digital circuits and systems,Integrated electronics: Analog and digital circuits and systems,20
hbase :the definitive guide,HBase :The definitive guide,20
analog & digital communication 3rd,Analog & Digital Communication 3rd,20
construction planning &management,Construction Planning &management,20
core java vol. 1,Core Java Vol. 1,20
soil mechanics & foundation engineering :: geotechnical engineering,Soil Mechanics & Foundation Engineering :: geotechnical Engineering,20
instrumentation measurement & analysis,Instrumentation Measurement & Analysis,20
data communications and networking,Data Communications and Networking,20
programming hive,Programming Hive,20
mcgraw - hill encyclopedia of science & technology vol. 1,McGraw - Hill Encyclopedia of Science & Technology Vol. 1,20
electricity and magnetism,Electricity and magnetism,20
statistic quality control,Statistic Quality Control,20
an introduction to power plant technology,An Introduction to Power Plant Technology,20
optical fiber communication: principles and systems,Optical Fiber Communication: Principles and systems,20
spss explained,SPSS explained,20
ruby programming: the well grounded rubyist,Ruby Programming: the well grounded rubyist,20
water supply engineering,Water Supply Engineering,20
"digital communication: theory, techniques, and appl","Digital communication: theory, techniques, and appl",20
unix : concept and application,Unix : Concept and Application,20
"graph theory: modelling, applications & algorithms","Graph theory: modelling, applications & algorithms",20
sensors and transducers,Sensors and Transducers,20
basic electronics: a text-lab manual,Basic Electronics: A Text-Lab Manual,20
principles of networking and systrm admin.,Principles of Networking And Systrm Admin.,20
fundamentals of electric machines,Fundamentals of electric machines,20
thermal science and engineering,Thermal Science and Engineering,20
gate 2013: electronics and communication engineering,GATE 2013: electronics and communication engineering,20
electronic communication systems: fundamentals through advanced,Electronic Communication Systems: fundamentals through advanced,20
advanced differential equation,Advanced differential equation,20
electronic communication system,Electronic Communication System,20
thermodynamics,Thermodynamics,19
industrial engineering & production management,Industrial Engineering & Production Management,19
advanced microprocessor and microcontrollers,Advanced Microprocessor and Microcontrollers,19
a course in electrical and instrumentation,A Course in Electrical and Instrumentation,19
satellite communications: mcgraw hill telecom engineering series,Satellite Communications: McGraw Hill Telecom Engineering Series,19
analog & digital communication,Analog & Digital Communication,19
chemical process control,Chemical Process Control,19
modern database management,Modern Database Management,19
mathematics for economics and business,Mathematics for Economics and Business,19
visual fox pro 5.0 for windows,Visual Fox Pro 5.0 For Windows,19
gate papers: mechanical engineering,GATE Papers: Mechanical Engineering,19
introduction to artifical neural system,Introduction to Artifical Neural System,19
microprocessors & interfacing programming & hardware,Microprocessors & Interfacing Programming & Hardware,19
circuits and networks..synthesis,Circuits and Networks..Synthesis,19
intel microprocessors 8086/8088,Intel Microprocessors 8086/8088,19
basic of biotechnology,Basic of Biotechnology,19
linear control systems,Linear Control Systems,19
modern machining methods,Modern Machining Methods,19
switchear protection and power systems,Switchear Protection and Power Systems,19
human-computer interaction,Human-computer interaction,19
fundamentals of heat and mass transfer,Fundamentals of Heat and Mass Transfer,19
object-oriented programming with c++,Object-oriented Programming with C++,19
"a handbook on mechanical engineering: ies, gate, psus & other competitive exams","A handbook on mechanical engineering: IES, GATE, PSUs & other competitive exams",19
entrepreneurship,Entrepreneurship,19
computer graphics,Computer Graphics,19
vector mechanics for engineers,Vector mechanics for engineers,19
electromagnetic field theory,Electromagnetic Field Theory,19
a course in workshop technology vol.1,A Course in Workshop Technology Vol.1,19
visual basic 6 programming ; black book,Visual Basic 6 Programming ; Black book,19
fundamentals of computers & programming in c,Fundamentals of Computers & Programming in C,19
foundations of computing,Foundations of Computing,19
geotechnical engineering,Geotechnical Engineering,18
computer oriented numerical methods,Computer oriented numerical methods,18
principles of soft computing,Principles of Soft Computing,18
mathematical statistics,Mathematical Statistics,18
fundamentals of microprocessors and microcomputers,Fundamentals of Microprocessors and Microcomputers,18
