book_id,_unique_key,title,author,editionstatement,publishercode,copyrightdate,itemcallnumber,quantity
82,a text book of electrical technology vol.1: lost fine paid 390 rep 29492||theraja (bl) and theraja (ak)||1st ed.||s.chand and co. ltd.||2008,A text book of Electrical Technology VOL.1: lost fine paid 390 rep 29492,THERAJA (BL) AND THERAJA (AK),1st ed.,S.CHAND AND CO. LTD.,2008,621.3 THE 1;66(LRN29482),1
83,"a text book of electrical technology vol.1||theraja, b.l and theraja, a.k.||1st||s chand||2008",A text book of Electrical Technology Vol.1,"Theraja, B.L and Theraja, A.k.",1st,S chand,2008,621.3 THE,13
84,"a text book of electrical technology vol.1||theraja, b.l.||1st||s. chand||2008",A text book of Electrical Technology VOL.1,"Theraja, B.L.",1st,S. Chand,2008,621.3 THE,8
85,"a text book of electrical technology vol.2||theraja, b.l. and theraja, a.k.||23rd||s chand||2008",A text book of Electrical Technology Vol.2,"Theraja, B.L. and Theraja, A.K.",23rd,S Chand,2008,621.3 THE,18
86,"a text book of electrical technology||theraja, b.l. and theraja, a.k.||1st||s.chand||2006",A text book of Electrical Technology,"Theraja, B.L. and Theraja, A.k.",1st,S.chand,2006,621.3 THE,13
87,"a text book of electrical technology||theraja,b.l.||1st||s.chand||2005",A Text book of Electrical Technology,"Theraja,B.L.",1st,S.chand,2005,621.3 THE,30
88,a text book of electrical technology||therja & therja||23rd rev||s.chand and co. ltd.||2002,A Text Book of Electrical Technology,Therja & Therja,23rd Rev,S.CHAND AND CO. LTD.,2002,621.3 THE,26
89,a text book of eng. mathematics||bali (n.p)||1st||laxmipub.||2003,A Text Book of Eng. Mathematics,BALI (N.P),1st,LAXMIPUB.,2003,519 BAL,7
90,a text book of engineering chemistry||chawla (shashi)||1st||dhanpat rai & sons||2003,A Text Book of Engineering Chemistry,CHAWLA (SHASHI),1st,DHANPAT RAI & SONS,2003,540 CHA R,16
91,"a text book of engineering chemistry||chawla,s.||1st||dhanpat rai||2003",A Text Book of Engineering Chemistry,"Chawla,S.",1st,Dhanpat rai,2003,540 CHA,13
92,"a text book of engineering drawing: geometrical drawing||gill,p s||1st ed.||s k kataria||2009",A text book of engineering drawing: geometrical drawing,"Gill,p s",1st ed.,S K Kataria,2009,604.2 GIL,4
93,"a text book of engineering mathematics 17th||bali, n.p.||17th||laxmi pub||2007",A Text Book of Engineering Mathematics 17th,"Bali, N.P.",17th,Laxmi Pub,2007,519 BAL,1
94,a text book of engineering mathematics||bali (n.p) and iyengar (n.c.s.n)||6th||laxmipub.||2003,A Text Book of Engineering Mathematics,BALI (N.P) AND IYENGAR (N.C.S.N),6th,LAXMIPUB.,2003,519 BAL,85
95,"a text book of engineering mathematics||bali, n||7th||laxmi pub.||2007",A Text Book of Engineering Mathematics,"BALI, N",7th,Laxmi Pub.,2007,519 BAL,6
96,"a text book of engineering mathmatics||bali ,np||1st ed.||laxmi pub||2010",A text Book of Engineering Mathmatics,"Bali ,Np",1st ed.,Laxmi Pub,2010,519 BAL,1
97,a text book of engineering physics||avadhanulu & kshirsagar||6th rev.||s.chand and co. ltd.||2003,A Text Book of Engineering Physics,Avadhanulu & Kshirsagar,6th Rev.,S.CHAND AND CO. LTD.,2003,621 AVA 20,72
98,a text book of engineering physics||avadhanulu and kshirsagar||5th rep||s.chand and co. ltd.||2001,A Text Book of Engineering Physics,AVADHANULU AND KSHIRSAGAR,5th Rep,S.CHAND AND CO. LTD.,2001,621 AVA 15,5
99,"a text book of fluid mechanics and hydraulic..||bansal, r.k||8th||laxmipub.||2002",A Text Book of Fluid Mechanics and Hydraulic..,"Bansal, R.K",8th,LAXMIPUB.,2002,620.106 BAN,5
100,"a text book of foundry technology||khanna, o.p||rev.||dhanpat rai & sons||2001",A Text Book of Foundry Technology,"Khanna, O.P",Rev.,DHANPAT RAI & SONS,2001,671.2 KHA,5
101,a text book of machine design||khurmi & gupta||1st rep.||eurasia pub||2002,A Text Book of Machine Design,Khurmi & Gupta,1st Rep.,EURASIA PUB,2002,621.815 KHU,14
102,a text book of machine design||khurmi & gupta||1st rep.||s.chand and co. ltd.||2002,A Text Book of Machine Design,KHURMI & GUPTA,1st Rep.,S.CHAND AND CO. LTD.,2002,621.815 KHU,2
103,"a text book of machine design||khurmi, r.s.||14th rev||s.chand||2009",A Text Book of Machine Design,"Khurmi, R.S.",14th rev,S.Chand,2009,621.815 KHU,20
104,a text book of material science and metallurgy||khanna (op)||1st ed.||dhanpat rai & sons||1999,A Text Book of Material Science and Metallurgy,KHANNA (OP),1st ed.,DHANPAT RAI & SONS,1999,620.11 KHA 1,2
105,a text book of optics||subrahmanyam and brijlal||1rep||s.chand and co. ltd.||2002,A Text book of Optics,SUBRAHMANYAM AND BRIJLAL,1rep,S.CHAND AND CO. LTD.,2002,535 SUB,10
106,"a text book of power plant engineering||rajput, r.k.||||laxmi publications||2010",A text book of Power Plant Engineering,"Rajput, R.K.",,Laxmi Publications,2010,621.3121 RAJ,6
107,a text book of practical in electrical engineering||jain (n.k)||1st||dhanpat rai & sons||2002,A Text book of Practical in Electrical Engineering,JAIN (N.K),1st,DHANPAT RAI & SONS,2002,621.3 JAI 14,1
108,"a text book of practicals in elec. engineering||jain, n.k||1st||dhanpat rai & sons||2002",A Text book of Practicals in Elec. Engineering,"Jain, N.K",1st,DHANPAT RAI & SONS,2002,621.3 JAI,14
109,"a text book of vector analysis||narayan,s.||1st||s.chand||2003",A Text book of Vector Analysis,"Narayan,S.",1st,S.Chand,2003,512.57 NAN,8
110,"a text book of welding technology||khanna , o p||1st ed.||dhanpat rai & sons||1999",A Text Book of Welding Technology,"KHANNA , O P",1st ed.,DHANPAT RAI & SONS,1999,671.52 KHA,2
